Track Name,Country,Length (km)
Adams Motorsports Park,,
Adm Miachkovo,Russia,3.27
Adria,Italy,2.7
Albert Park,Australia,5.3
Aldo Scribante,South Africa,2.48
Algarve International Circuit Portimao (Grand Prix),Portugal,4.65
Ams Driving Center Gross Dolln,Germany,4.3
Anglesey,United Kingdom,1.7
Anglesey Coastal,United Kingdom,2.49
Anglesey International Gp,United Kingdom,3.4
Anglesey National,United Kingdom,1.93
Anneau Du Rhin,France,3.0
Anneau Du Rhin 3.7 Km,France,3.7
Anneau Du Rhin Short,France,1.84
Aragon Motogp,Spain,5.08
Arctic Circle Raceway,Norway,3.75
Area 27,Canada,4.83
Ascari Race Resort,Spain,5.42
Assen,Netherlands,4.55
Auto Club Speedway,,
Auto Motor Und Sport Handling,Germany,0.54
Auto Motor Und Sport Snowy Handling Course,Germany,1.3
Autobild Sportscars Snowy Track,Germany,0.77
Autobild Sportscars Snowy Track (2018),Germany,1.25
Autocar Dry Handling Track,,
Autocar Snake,,
Autocar Wet Handling Track,,
Autoclub Speedway Sportcar,United States,4.5
Autodromo Del Levante Bari,Italy,1.52
Autopartner Test Route,Croatia,3.0
Autozeitung Test Track,,
Autódromo De Tocancipá,Colombia,2.73
Autódromo Hermanos Rodríguez Gp,Mexico,4.3
Bahrain Inner Circuit,Bahrain,2.56
Bahrain International Circuit,Bahrain,5.41
Bahrain Outer Circuit,Bahrain,3.54
Baku City Circuit,Azerbaijan,6.0
Balocco,Italy,5.85
Balocco Alfa Romeo,Italy,5.4
Barber Motorsports Park,United States,3.83
Barcelona Catalunya F1 (2007-2020),Spain,4.65
Barcelona Catalunya F1 (Post 2018),Spain,4.67
Baskerville Raceway,Australia,2.01
Bedford Autodrome East Circuit,United Kingdom,1.17
Bedford Autodrome South Circuit,United Kingdom,2.25
Bedford Autodrome West (Post 5/2015),United Kingdom,2.9
Bedford Autodrome West Circuit (06/2008 - 05/2015),United Kingdom,2.9
Bedford Autodrome West Circuit (2004 - 06/2008),United Kingdom,2.74
Bedford Autodrome West Circuit (Pre 2004),,
Bedford Autodrome Wet Handling Test,,
Bend West Circuit,Australia,3.41
Best Motoring Oval,,
Bilster Berg,Germany,4.2
Biķernieki (High Speed),Latvia,3.66
Blyton Park Circuit,United Kingdom,2.48
Blyton Park Outer Circuit,,
Bordeaux Merignac,France,1.8
Boxberg Bosch Test Track,Germany,1.2
Brands Hatch (Indy Circuit),United Kingdom,1.94
Bridgehampton Circuit,United States,4.59
Bruntingthorpe,United Kingdom,3.38
Buddh International Circuit Autox,India,2.0
Buttonwillow Configuration 1,United States,4.4
Buttonwillow Configuration 1 Ccw,United States,4.4
Buttonwillow Configuration 13,,
Buttonwillow Configuration 26,United States,4.67
Buttonwillow East Loop,,
Buttonwillow West Loop (Config 24),,
Cadwell Park (Full Circuit),United Kingdom,3.5
Cadwell Park Club Circuit,United Kingdom,2.38
Cadwell Park Woodland,United Kingdom,1.15
Calabogie Motorsports Park,Canada,5.05
Camden Airport (Post 10/2010),Australia,2.3
Camden Airport (Pre 10/2010),,
Canadian Tire Motorsport Park,Canada,3.96
Castle Combe,United Kingdom,2.98
Castle Combe (Pre 1999),United Kingdom,2.96
Charade,France,3.86
Chuckwalla Valley Raceway,United States,4.31
Circuit De La Sarthe,France,13.63
Circuit De La Sarthe (1932 - 1971),France,13.46
Circuit De La Sarthe (1972 - 1978) (13.640 Km),France,13.64
Circuit De La Sarthe (1979-1985),France,13.63
Circuit De Nevers Magny-Cours Club,France,2.53
Circuit De Nevers Magny-Cours Gp,France,4.41
Circuit D´ Issoire,France,1.7
Circuit Gilles Villeneuve,Canada,4.36
Circuit Of The Americas,United States,5.51
Circuit Paul Ricard (Post 2018),France,5.84
Circuit Paul Ricard (Pre 2018),France,5.81
Circuito Tazio Nuvolari ,Italy,2.8
Contidrom (3.3 Km),Germany,3.28
Contidrom (3.63 Km),Germany,3.57
Contidrom (3.8 Km),Germany,3.8
Contidrom Handling Track (1.9 Km),Germany,1.9
Croft,United Kingdom,3.38
Croft (Pre 1997),United Kingdom,2.9
Croix En Ternois,France,1.9
Curborough Sprint,,
Daimler-Chrysler Proving Ground,United States,2.57
Daytona Road Course,United States,5.73
Dijon-Prenois,France,3.8
Donington Park National,United Kingdom,3.15
Dreux,France,2.1
Dunnville Autodrome,Canada,2.2
Ebisu,Japan,2.06
El Toro,United States,0.8
El Toro Topgear Us,,
Estoril,Portugal,4.18
Eurospeedway Lausitz,Germany,3.28
Eurospeedway Lausitz Dekra Handling,Germany,1.0
Ferte Gaucher,France,3.6
Fiorano,Italy,3.02
Folembray,France,2.05
Franciacorta,Italy,2.52
Fuji Raceway,,
Fuji Speedway (Post 2005),Japan,4.56
Gingerman Raceway,,
Goodwood,United Kingdom,3.86
Goodwood Hill Climb,United Kingdom,1.86
Gotland Ring (Northern Loop),Sweden,3.2
Grand Tour Eboladrome,United Kingdom,2.0
Grattan Raceway,United States,3.02
Gunsai,Japan,1.0
Harewood Hill Climb,United Kingdom,1.43
Haute Saintonge,France,2.2
Hockenheim Gp,Germany,4.57
Hockenheim Short,Germany,2.64
"Hockenheim Short ""Powercar Layout"" ",Germany,2.56
Hungaroring,Hungary,4.38
Imola (Post 2008),San Marino,4.91
Inde Motorsports Ranch Configuration 4,United States,3.54
Inta,Spain,1.76
Inta Long,,
Inta Long (Conf 2),,
Interlagos,Brazil,4.31
Istanbul Park,Turkey,5.34
Jarama,Spain,3.85
Jeddah Corniche Circuit,Saudi Arabia,6.17
Kakucs Ring,Hungary,1.05
Killarney,South Africa,3.27
Kotarr,,
Kyalami,,
Kyalami (New),South Africa,4.52
Kühtai Bergstraße,Austria,1.33
Laguna Seca (Post 1988),United States,3.6
Laguna Seca (Pre 1988),United States,3.06
Laquais,France,2.4
Las Vegas Motor Speedway Inside Road Course,United States,1.77
Las Vegas Motor Speedway Inside Road Course Short,United States,1.22
Le Mans (Bugatti),France,4.18
Lime Rock Park,United States,2.41
Lime Rock Park With Uphill Chicane,United States,2.37
Linas-Montlhery,,
Linas-Montlhery (9Km),France,9.0
Llandow,United Kingdom,1.45
Long Beach Grand Prix Circuit,United States,3.17
Losail International Circuit,Qatar,5.4
Luk Driving Center,Germany,2.77
Madras Motor Race Track,India,3.74
Magione,Italy,2.51
Magny Cours,France,3.85
Mallory Park,United Kingdom,2.17
Mantorp Park,Sweden,3.1
Marcoussis,France,1.85
Marina Bay,Singapore,5.06
Megara,Greece,2.09
Memphis International Raceway,United States,2.9
Mendig Afb Circuit,Germany,4.24
Miami International Autodrome,United States,5.41
Milford Road Course,United States,4.67
Millbrook Alpine Hill Route,United Kingdom,3.1
Millbrook Handling Circuit,United Kingdom,1.38
Miller Motorsports Park,United States,4.9
Mira Dry Handling Track,United Kingdom,0.96
Miramas Handling Course,France,2.6
Mireval,France,3.3
Mireval (1994),France,3.2
Mittsverigebanan,Sweden,1.95
Mnevniki Airfield,,
Modena Autodrome,Italy,2.01
Monaco (Post 2014),Monaco,3.34
Monteblanco Wet Handling,Spain,1.43
Monticello Motor Club North Course,United States,3.06
Monza,Italy,5.79
Mornay,France,3.0
